id,Cion,Market_Cap,Open,Date,High,Low,Volume,Close
0,Bitcoin,3906064342351.5913,215220.8035144636,1577808000,216636.0750464465,214624.104435527,555354737048.9308,215386.0095842499
1,Bitcoin,4374369741670.686,244678.0037408283,1578672000,246361.7458634421,240704.5814700171,765047965764.1783,240941.2583016594
2,Bitcoin,4742807405214.16,262842.2309567939,1579622400,263416.1051094719,259128.324652557,679339533556.4315,259896.7565089008
3,Bitcoin,5162431926427.418,285084.3429618327,1580572800,287482.164479187,279862.3537741979,936203809420.7418,283704.2746583439
4,Bitcoin,5635665208221.721,305704.3436674527,1581436800,311725.202787218,305704.3436674527,1301765119969.097,309079.4640303271
5,Bitcoin,5501644226076.54,293784.2133543878,1582387200,302095.4252783467,293616.1663802571,1252112017520.8486,301703.6055438453
6,Bitcoin,4954548571144.567,261888.7212854482,1583337600,273964.512122572,261798.1093479244,1186773342190.0457,271627.5039660691
7,Bitcoin,2750562043021.218,161648.4291643376,1584288000,161648.4291643376,138255.8769398465,1361812003969.8926,151690.5265587586
8,Bitcoin,3720714642465.4004,202194.2567367876,1585152000,204074.4523500011,199468.902216184,1069854330460.763,202735.757961302
9,Bitcoin,4029494234686.9863,205440.3272838607,1586102400,219804.1216308818,205284.1581206218,1419334818170.8123,219804.1216308818
10,Bitcoin,3910809263335.67,213959.1541790622,1587052800,215395.350326042,212049.3052816864,977516079554.8247,213261.6375506156
11,Bitcoin,4304675510614.5527,231104.4339068801,1587916800,233306.7417752154,231104.4339068801,1088263583345.3544,233306.7417752154
12,Bitcoin,5401545368650.964,296842.8640847176,1588867200,298732.6816188943,291867.5590395161,1546949899534.0227,293872.4897448975
13,Bitcoin,5354666231776.39,291252.6019552841,1589817600,294584.7053215356,285668.8121518793,1175371547034.4097,291238.7501112523
14,Bitcoin,5344479092475.094,282785.144260425,1590768000,290727.8960508742,280622.5299910811,980363973742.8862,290619.5553807966
15,Bitcoin,5348557415352.468,290054.1408855465,1591632000,292157.8736706052,287452.9385655676,703827008302.8373,291305.5119579264
16,Bitcoin,5085421936506.39,275004.9915123759,1592582400,278083.6432193321,273715.0404055176,507050325663.0733,276229.8206825901
17,Bitcoin,4999488323089.698,268989.8226576765,1593532800,274125.7319592907,268269.1922645268,469734476032.64197,271713.2724553468
18,Bitcoin,5040072473075.446,272407.8205781886,1594483200,274626.235672911,271032.0295904207,426026724289.0278,273452.6533071058
19,Bitcoin,5166803696441.877,275779.2325782725,1595347200,280593.7284524307,274239.4591067615,486316099599.52893,280452.4184484318
20,Bitcoin,5980427209596.313,344825.7738099226,1596297600,352901.2772104801,323106.6634904476,803800224628.8102,324147.2276468251
21,Bitcoin,6376312481287.112,339675.8542723409,1597248000,346270.2460383883,330005.9985571862,806722427480.8279,345910.4023017815
22,Bitcoin,6334365919181.925,343406.4205776976,1598112000,344398.26282965,339884.8049100418,543409606264.6712,343028.1966479314
23,Bitcoin,5548556728395.987,334316.2639022297,1599062400,336138.78315129,298274.9497524805,935708249943.7848,300122.6577759748
24,Bitcoin,5785696942001.163,302600.9335962792,1600012800,315846.3234613979,300566.1515955836,1038683625541.5966,312542.6756394311
25,Bitcoin,5791698367708.192,315075.6096251952,1600963200,315278.8593364521,310057.4188390117,1152091329499.7915,312950.1702838397
26,Bitcoin,5780333437571.255,308925.3653525265,1601827200,309994.9530155269,307090.0103414255,1375499819685.9636,309990.1158211509
27,Bitcoin,6027768187709.645,330683.3029743297,1602777600,332229.1393733408,322907.4126747584,736968801224.3541,325856.3519696019
28,Bitcoin,7238383300919.826,374106.2231993139,1603728000,393375.1554253981,373726.7378381524,965644763823.6974,390360.4373304101
29,Bitcoin,7859064576639.616,444896.2158823956,1604678400,449789.7970667759,412236.7739509708,1001065714337.0415,423970.9430234662
30,Bitcoin,9336480960477.252,476034.4027182463,1605542400,506919.9688872849,472470.5333725465,1112845864383.0518,503176.3732195134
31,Bitcoin,9376393200428.896,488035.215058678,1606492800,509167.5648273482,482266.4493369177,929732780162.3434,505274.0999968813
32,Bitcoin,9728574227556.816,517396.4613297437,1607443200,526341.7963729883,505683.2828705631,972058906239.9473,524296.5407190005
33,Bitcoin,12490202639774.51,651634.3040810539,1608307200,678479.2771231827,643003.4597916612,1084163397108.9077,672394.0705698176
34,Bitcoin,15083884126745.992,769907.4523950763,1609257600,813816.0621327058,769907.4523950763,1443218380201.6516,809926.0744082588
35,Bitcoin,19985368780423.64,1127842.6742524486,1610208000,1160510.9123498339,1009547.5264079788,2240900588788.0625,1074918.581408691
36,Bitcoin,15989920963848.559,991049.6559084664,1611158400,991340.2848521956,846101.3368510328,2108785005305.8406,859420.5051737461
37,Bitcoin,17270046928651.281,960105.489919446,1612022400,960594.463939666,904087.7055435207,1477929063847.438,927731.846654746
38,Bitcoin,25008256491391.93,1258272.8783999383,1612972800,1357510.2745682169,1237831.742536856,2280899755408.8203,1340402.525145255
39,Bitcoin,28218437000337.84,1607083.3393360407,1613923200,1607101.5089162067,1366782.6795329268,2571334408569.4556,1508264.4456766753
40,Bitcoin,25387068808859.656,1350410.2459601893,1614873600,1380407.9092602797,1298419.8105509824,1353162348968.2468,1367151.2075225466
41,Bitcoin,29376351970196.598,1669368.1308697313,1615737600,1705954.363123486,1560242.892397241,1870814731549.0322,1575861.899402759
42,Bitcoin,29349008785258.1,1473880.4734688941,1616688000,1577329.674947502,1470938.7294023125,1615590272958.7058,1577329.674947502
43,Bitcoin,30866527020853.543,1680607.1304890325,1617638400,1693948.716842997,1639780.8305658672,1876186716714.756,1655386.3308214813
44,Bitcoin,32556443091888.387,1790133.523636954,1618502400,1802865.8215797793,1706179.1903972407,2385382614727.145,1740447.2572612672
45,Bitcoin,28622449292676.77,1503285.1943896692,1619452800,1547352.4704164881,1485301.865466901,1375797951204.9146,1536095.4516443412
46,Bitcoin,30487788499060.324,1589795.7311079649,1620403200,1648335.2724489998,1579330.0492068778,1812390069976.9116,1630017.1439054115
47,Bitcoin,19375169138992.67,1201621.8855035005,1621353600,1218420.4263284733,858038.773316416,3535562781981.886,1032641.9070581628
48,Bitcoin,17909166099996.664,986131.6754257914,1622217600,1028975.3654851402,931131.7405710123,1249959053501.686,956615.039275905
49,Bitcoin,19307974508727.75,922372.0809422167,1623168000,1043324.9549622962,900084.9299244424,1489755113156.446,1037981.5101236792
50,Bitcoin,18593655223023.25,988459.6784700688,1624118400,1002255.3146092184,929227.8376086928,1019058494525.432,992269.8479396304
51,Bitcoin,17725359489474.617,935837.5797885132,1625155200,946715.9781149976,917464.3644700322,1080311836385.468,946188.6555114463
52,Bitcoin,17392878827918.06,958104.1291616512,1626019200,969773.7862857128,915567.116037661,680286035054.622,927508.3267819902
53,Bitcoin,17651445949298.086,904941.5969825431,1626969600,941898.6896233779,898287.8232920795,631718897124.6694,941898.6896233779
54,Bitcoin,20011715944547.863,1094487.8036589585,1627920000,1110393.263327419,1054667.1031412284,731639051063.93,1063502.9298585693
55,Bitcoin,24969237133415.402,1235934.51589626,1628784000,1330843.419034676,1231263.7155006165,882855474162.8615,1329767.9131618747
56,Bitcoin,25032589580137.082,1383592.3837601985,1629734400,1393587.9802424596,1330790.0957954177,987149461393.5906,1331387.1749504374
57,Bitcoin,25945243079016.46,1381372.5805874406,1630684800,1396185.2023870172,1368651.2782459334,1035044257718.4635,1379585.467776842
58,Bitcoin,25064808081910.184,1302217.3070120793,1631635200,1338594.387818489,1294802.6120151929,842868921735.7795,1331030.59921886
59,Bitcoin,22309263597082.15,1188457.7117775446,1632499200,1192767.8397137881,1158470.3044975738,876752781780.5961,1185009.5538019303
60,Bitcoin,29080292651240.83,1435757.1608721945,1633449600,1554010.9809952232,1413931.8795118935,1367382485458.6394,1548199.54173366
61,Bitcoin,32444235839606.156,1702863.2592031355,1634400000,1723978.5583100845,1654427.8620938612,811956931877.2576,1722331.7064878445
62,Bitcoin,31748805207406.465,1623889.9728900457,1635350400,1726324.8336360136,1617133.7535268702,1256911350639.2412,1681555.0752929635
63,Bitcoin,33268734508994.992,1714002.9531527958,1636214400,1763315.755250544,1710593.8026342653,688518946200.6919,1763315.755250544
64,Bitcoin,29835057920019.973,1675361.9573765786,1637164800,1692107.0672331515,1572728.4113210356,1148778826381.589,1584147.1990663607
65,Bitcoin,30424389234931.37,1596549.7279705738,1638115200,1635105.9487224014,1577781.601414143,902076071725.1588,1604745.0198819179
66,Bitcoin,24904577300813.707,1394748.0638792394,1638979200,1404876.885732466,1313446.041274698,818423486631.113,1320312.8477790763
67,Bitcoin,24656993654894.266,1299351.1589776548,1639929600,1320550.2398035298,1270218.1490520365,861334016342.6661,1304696.9156721667
68,Bitcoin,24240657286856.95,1305360.4603829896,1640880000,1339901.7926760765,1269693.8506487636,1023219512594.6971,1283480.3978276064
69,Bitcoin,22335082502807.934,1154799.6417166516,1641830400,1190138.725531008,1147056.852507381,727009037643.7344,1181304.5223071463
70,Bitcoin,19075377294483.57,1124558.5899913346,1642694400,1135877.8579773966,991644.4222251861,1188451405204.0823,1010093.7467459011
71,Bitcoin,20395573461611.184,1069231.243470233,1643644800,1087694.0800273016,1059380.6998117531,563724097000.82,1075408.6396898278
72,Bitcoin,22349465529503.746,1183684.8893930214,1644595200,1199879.1215034495,1168063.4520971873,506615060993.80566,1179000.9128641386
73,Bitcoin,19702530578047.79,1066337.00548417,1645545600,1090701.0441443352,1037335.4377237033,608549144311.5286,1040115.5736787464
74,Bitcoin,21036308413015.082,1101519.9684984835,1646409600,1113278.0409223353,1091069.5124275058,477651406255.8303,1108614.2752925137
75,Bitcoin,22312241847467.35,1123581.1651122577,1647360000,1186430.2371648462,1117229.308278511,1131617554503.1675,1168211.9331717624
76,Bitcoin,25510605978507.37,1276564.9599102016,1648310400,1343201.3350443179,1274612.668606104,807750064248.6132,1342999.034511992
77,Bitcoin,23540365105034.11,1305674.6957717915,1649174400,1305674.6957717915,1241411.4723621786,1129337749123.6719,1241778.8801982382
78,Bitcoin,21996466509777.355,1177232.4022247598,1650124800,1181687.359894202,1153998.147019681,555957852569.5183,1156796.0087816066
79,Bitcoin,22239287130133.363,1153301.620972001,1651075200,1189692.888901606,1150979.9448096564,996426462928.1488,1172043.2421870818
80,Bitcoin,17108307386228.357,1010390.3933221301,1652025600,1018095.7303081083,901516.1453720985,1879440821385.7693,901516.1453720985
81,Bitcoin,17178448512259.879,854594.3732969447,1652889600,902910.8494447835,855368.9897025693,1004952577925.4177,897743.8724803659
82,Bitcoin,17718894118382.797,863014.5217980084,1653840000,926095.1851018919,858621.0513671499,1151277300130.4695,919684.613201866
83,Bitcoin,16406736261512.828,890985.7277245276,1654790400,895049.031207476,859483.1481526755,883799537666.8477,862683.8156330112
84,Bitcoin,11738621565809.85,611982.124811724,1655740800,642697.2465251541,606031.3195062674,860881738925.4933,615910.3761488264
85,Bitcoin,10910194659976.717,588087.2531192994,1656604800,613481.5309473783,568234.383940116,912894810927.5234,574450.6518935924
86,Bitcoin,11019920093812.012,596506.1266207086,1657555200,599906.354098587,576765.0987488996,770935811606.9537,577218.8634923178
87,Bitcoin,12797776011674.555,677193.7727972826,1658505600,685252.8102809485,656196.10370271,716405719874.4988,669991.3091043932
88,Bitcoin,13249809629417.979,703285.3609871716,1659369600,699676.6277226662,680905.0702093733,856588833507.6691,688798.9164251233
89,Bitcoin,13989904149410.586,731004.2021700788,1660320000,744720.1731353262,729324.458429926,688620508063.3267,731659.6612560177
90,Bitcoin,12351948615046.94,649616.7663059185,1661270400,658600.3811562092,641250.6885532025,964544097238.7931,646707.250306045
91,Bitcoin,11717056990574.182,607403.1486278942,1662220800,612550.49444845,601410.8901563254,773197431045.6307,612053.097924982
92,Bitcoin,12068415560089.793,628419.8901271091,1663084800,636574.9924026541,615659.7297475459,1179107344883.8987,629269.128040078
93,Bitcoin,11458048526820.713,602269.3877422599,1664035200,608580.1892436922,594652.6914273121,742963722206.4591,598019.528214449
94,Bitcoin,12065428160636.93,635828.7295839067,1664985600,642786.7910672957,626932.4289432277,1094711151709.0079,628941.7447660248
95,Bitcoin,11992146166590.773,616150.8488825113,1665936000,627733.0359725194,614961.7224306719,878489882172.8839,625678.9561668749
96,Bitcoin,12449166036169.023,664268.5614127977,1666800000,664528.7376257712,649346.7522610277,1586901905038.9314,650390.2783310616
97,Bitcoin,12667911416850.8,670054.8093203005,1667750400,676303.9526843138,655009.1658498353,1713541419736.282,656630.332172121
98,Bitcoin,9958649465649.928,518076.2148480085,1668700800,528101.6579426521,515805.4431043991,833937576702.9296,519735.0276875684
