,Cion,Market_Cap,Open,Date,High,Low,Volume,Close
0,Bitcoin,3906064342351.5913,215220.8035144636,2020-01-01,216636.0750464465,214624.104435527,555354737048.9308,215386.0095842499
1,Bitcoin,4374369741670.686,244678.0037408283,2020-01-11,246361.7458634421,240704.5814700171,765047965764.1783,240941.2583016594
2,Bitcoin,4757472493233.868,259172.2650989713,2020-01-21,263117.7298917799,256762.8310549079,721259833482.8446,262892.8514424112
3,Bitcoin,5188715004450.4375,283764.763931867,2020-02-01,286587.2956828518,282759.2429153342,787037773880.6661,285177.0890602958
4,Bitcoin,5585508071521.52,296100.5644564603,2020-02-11,306444.5403900808,292016.2768633374,1131060685862.4075,305879.5913216079
5,Bitcoin,5356245536446.242,294525.660919952,2020-02-22,294845.622605094,291881.3565431552,1089547640739.8362,293780.0539752905
6,Bitcoin,4784562620378.048,264472.2360372256,2020-03-03,266015.3572464476,260083.3562127799,1264480421585.4443,262728.4516678564
7,Bitcoin,2860663568878.565,167791.4353329236,2020-03-14,169361.507004406,154303.0253723295,1088521789623.3606,156570.0272909716
8,Bitcoin,3722668635790.146,194573.2646476515,2020-03-24,204997.9288804642,194470.0860463017,1457700137711.385,203121.6685487645
9,Bitcoin,3802184680346.9697,203802.3944299194,2020-04-04,208053.9491401147,202535.1787891043,1003710224717.1592,207708.3636712104
10,Bitcoin,3774074119424.268,205975.9381944854,2020-04-14,209320.3598674774,204096.5866533073,1026689954527.0215,205519.1632320947
11,Bitcoin,4161317040514.4404,223345.1239319051,2020-04-24,227930.2810155337,223345.1239319051,1040585193840.7319,227229.2646130342
12,Bitcoin,4929222820841.056,265727.1780271845,2020-05-05,269991.9858872449,264154.8787630533,1286428265839.6653,268867.6968090162
13,Bitcoin,5124403692429.492,290967.6855629975,2020-05-15,291738.2954083783,277489.9976056133,1439514760366.6445,279556.7426794803
14,Bitcoin,4881975832866.12,267759.7991695696,2020-05-26,269678.1010563705,262587.4547081423,889093599903.0609,264963.2412912929
15,Bitcoin,5309197881389.377,292636.3843783361,2020-06-05,294009.5020332978,287103.8109289557,702002189791.6948,286960.002974996
16,Bitcoin,5205295950415.975,280309.5453996733,2020-06-16,283776.2557013705,278448.7015024452,639396612705.392,282915.9251880491
17,Bitcoin,4980233061477.561,273329.0247684131,2020-06-26,274781.2606782375,268956.3621551568,541330059384.3385,270640.5158064105
18,Bitcoin,5015477841316.932,275041.0992923319,2020-07-07,275206.8182831441,271108.4948804374,407145957911.8609,272803.4114535894
19,Bitcoin,4956374603846.738,268274.358826425,2020-07-17,269756.248693859,268081.4908896467,409663571589.65204,269682.3779096567
20,Bitcoin,5973335398177.374,291867.160952365,2020-07-27,332441.1366399743,291412.425855428,1041910416782.2412,322065.5522434661
21,Bitcoin,6291139156331.15,346115.7411517544,2020-08-07,349808.2545976701,335732.1168971694,679729134213.5996,341506.7515633229
22,Bitcoin,6651416593230.091,349696.6515734585,2020-08-17,363313.0197501628,347335.2828134424,829809315525.9304,359752.4768219629
23,Bitcoin,6254276755959.066,332181.1241302619,2020-08-28,338840.720932353,332694.8982314726,580960898363.555,338749.2821728882
24,Bitcoin,5623030513136.048,301634.1789420586,2020-09-07,304991.5505235896,290985.6019592345,988815170527.5449,304113.3805437917
25,Bitcoin,5897498284896.3,319103.1908978697,2020-09-18,320321.3224618405,314409.8455733503,767524080637.0979,317611.8800465902
26,Bitcoin,5799335192680.884,315396.9852761884,2020-09-28,318673.7824236206,311632.0670160702,1397852406340.6545,311810.4523063998
27,Bitcoin,5866196977386.787,312972.1587068748,2020-10-09,317736.2420402676,310572.4232289261,652959911494.3252,316614.9862373596
28,Bitcoin,6260666276229.22,330907.6686332634,2020-10-19,339227.80501047,328108.127934447,686880007770.1821,337270.0556800434
29,Bitcoin,7118153781008.545,379393.2595530471,2020-10-29,389580.8978488901,371229.6824651067,1615179444766.074,381375.2025587135
30,Bitcoin,8124296823063.875,442451.9842699579,2020-11-09,451185.2412615104,425012.9296493072,976081301688.8811,439123.6363042694
31,Bitcoin,9428092995662.945,507924.591382858,2020-11-19,516977.843232925,496019.8519714167,1055142945728.3467,508000.8949549001
32,Bitcoin,10387680363659.46,518438.1846185609,2020-11-30,563643.9660845638,518438.1846185609,1361196405939.749,559958.4373108665
33,Bitcoin,9583331638816.082,524279.1437177534,2020-12-10,524279.1437177534,506541.8561092361,721910863557.6427,515114.7868913512
34,Bitcoin,11934047853150.854,661304.728442318,2020-12-21,677829.827564833,624251.5577022348,1291728222881.267,642020.7570618639
35,Bitcoin,15137903585913.684,809943.4950622193,2020-12-31,821269.249586925,792475.9186172067,1312996300349.352,814867.1221877474
36,Bitcoin,18536985568704.062,1074640.8588891027,2021-01-11,1074640.8588891027,855342.941146814,3455992554881.5337,997168.0703744364
37,Bitcoin,15989920963848.559,991049.6559084664,2021-01-21,991340.2848521956,846101.3368510328,2108785005305.8406,859420.5051737461
38,Bitcoin,17270046928651.281,960105.489919446,2021-01-31,960594.463939666,904087.7055435207,1477929063847.438,927731.846654746
39,Bitcoin,25008256491391.93,1258272.8783999383,2021-02-11,1357510.2745682169,1237831.742536856,2280899755408.8203,1340402.525145255
40,Bitcoin,29947134332039.484,1565933.4356718208,2021-02-21,1630695.1911934372,1554874.7438352436,1449442467029.0015,1607284.5937944062
41,Bitcoin,25102604244953.9,1400730.8059221979,2021-03-04,1438659.8107533334,1328937.3425699887,1451232212757.9604,1351360.1317308857
42,Bitcoin,31152102250187.92,1724029.996598804,2021-03-14,1734640.5005696004,1670350.8088170772,1236289242736.0178,1670350.8088170772
43,Bitcoin,27503029262315.8,1502696.3779547338,2021-03-25,1526781.9739008555,1449157.9755469263,1937974198025.4692,1474483.6751258287
44,Bitcoin,31321054905969.04,1644358.9207633017,2021-04-04,1681722.3875934302,1631908.4345433924,1448674504301.6008,1677292.368612482
45,Bitcoin,33525976504423.09,1787620.4436172387,2021-04-15,1805049.1443015272,1763891.6383111172,1727514223777.614,1791704.262014766
46,Bitcoin,25689999531700.934,1403841.7798240092,2021-04-25,1413645.89846916,1322053.5577505596,1293455926515.0613,1374422.2422680722
47,Bitcoin,29969648043082.137,1486161.414156907,2021-05-05,1620359.9534489333,1478271.0438454077,1932386667770.4563,1601727.797911382
48,Bitcoin,24316604390713.156,1306818.5294181332,2021-05-16,1390833.724237894,1229799.9837677132,1791630325369.3193,1299603.5902178532
49,Bitcoin,20464209137616.062,1068136.5397779625,2021-05-26,1134410.5995725456,1056655.471211856,1428538057590.0703,1087698.7090210929
50,Bitcoin,18505169778256.47,979149.0861457376,2021-06-06,1003885.3394751626,972665.859055059,796614440963.4977,988044.36876957
51,Bitcoin,19821756050043.906,1065872.410998209,2021-06-17,1097669.960810647,1039381.5127488174,1031268878964.957,1054017.3746219163
52,Bitcoin,18015515686301.945,967959.2205342519,2021-06-28,982617.4062510376,946753.9481457644,946003784723.657,958342.0205659968
53,Bitcoin,17198053898064.152,945404.7585414012,2021-07-08,947058.0441795059,900291.4149166334,834398349530.1527,921043.1554989811
54,Bitcoin,16695154848707.73,882567.2121688894,2021-07-18,906779.8373796911,873491.1345673454,525836292023.3397,889731.6639584957
55,Bitcoin,20962801757540.82,1116429.0073329052,2021-07-29,1132079.8551348296,1100207.6416738613,758340970302.062,1114622.5622497776
56,Bitcoin,22884849056790.17,1240150.0303430194,2021-08-08,1259845.6330774527,1209917.7892199012,1010012738667.8137,1218901.6587757436
57,Bitcoin,24455768863009.195,1246414.9121042562,2021-08-19,1316773.6602418367,1228564.9640574725,1036434011592.7776,1309633.8382465448
58,Bitcoin,25600853148651.867,1363934.1318093839,2021-08-29,1384370.7673109395,1336455.5682146477,721956171750.4456,1361766.420378722
59,Bitcoin,24161197175744.56,1267319.5131841262,2021-09-09,1307690.8538837654,1265700.2530024303,1070691182069.7429,1282500.1664366617
60,Bitcoin,24724664428436.297,1341729.4297166343,2021-09-19,1343383.6268303844,1304229.812823803,749621786459.0228,1313692.2611629108
61,Bitcoin,22947008816048.676,1156263.8341505278,2021-09-30,1227352.8107522803,1153220.3498931988,866592039611.8823,1218626.2245255483
62,Bitcoin,28969518647824.53,1542729.017940566,2021-10-10,1583392.9000553074,1523398.4545747172,1109691384477.3938,1537164.369794861
63,Bitcoin,34632557950852.79,1789766.5137339137,2021-10-20,1864780.8510900263,1770863.8785507006,1135617589824.015,1836131.9034232374
64,Bitcoin,32186967094042.816,1721404.2673951462,2021-10-31,1736869.8141569612,1671970.7189225755,897327404021.6489,1706744.7574767293
65,Bitcoin,34028935398705.047,1857707.3733103934,2021-11-10,1907157.9155538357,1757217.264221495,1352100134700.8574,1805177.566093935
66,Bitcoin,30824427854458.195,1660478.2564293898,2021-11-21,1668093.0512275328,1629576.9843307482,726218781696.6244,1632687.6933059029
67,Bitcoin,29828174502997.695,1570301.304755345,2021-12-01,1634067.260682835,1568641.1345350414,1017053946979.4064,1580699.4050185315
68,Bitcoin,26185056956016.598,1364943.1109852095,2021-12-12,1402480.704099632,1347210.4392611848,606744608025.2523,1385126.334699571
69,Bitcoin,25511044654377.527,1357769.4274736498,2021-12-22,1377920.060715634,1347202.653105336,678314033552.9595,1348269.2033331306
70,Bitcoin,24825884605820.145,1321577.0113532136,2022-01-02,1327133.7247052698,1298738.3893909073,774736448292.3411,1312284.806730298
71,Bitcoin,22993638588657.035,1181479.338239346,2022-01-12,1220740.2017179064,1176968.4353795082,926005338728.4515,1213575.3070841776
72,Bitcoin,18379572940919.78,1010489.166855826,2022-01-22,1016507.5304459177,951687.1680450818,1100334704899.8772,970555.1615232767
73,Bitcoin,19434435082417.215,1075420.8766719238,2022-02-02,1078227.6302297295,1024115.6410609081,531696339168.1612,1026125.2298537552
74,Bitcoin,22349465529503.746,1183684.8893930214,2022-02-12,1199879.1215034495,1168063.4520971873,506615060993.80566,1179000.9128641386
75,Bitcoin,19702530578047.79,1066337.00548417,2022-02-23,1090701.0441443352,1037335.4377237033,608549144311.5286,1040115.5736787464
76,Bitcoin,21036308413015.082,1101519.9684984835,2022-03-05,1113278.0409223353,1091069.5124275058,477651406255.8303,1108614.2752925137
77,Bitcoin,22312241847467.35,1123581.1651122577,2022-03-16,1186430.2371648462,1117229.308278511,1131617554503.1675,1168211.9331717624
78,Bitcoin,24245612117721.258,1272104.7293870065,2022-03-26,1283180.4560823739,1266838.9364411945,486196709483.8521,1276435.0617735859
79,Bitcoin,23540365105034.11,1305674.6957717915,2022-04-06,1305674.6957717915,1241411.4723621786,1129337749123.6719,1241778.8801982382
80,Bitcoin,22387154493335.03,1181151.13655143,2022-04-16,1183520.96443585,1167348.268301714,490292446977.315,1177427.75509119
81,Bitcoin,21179984013011.94,1181466.0271343654,2022-04-26,1191390.1934828463,1113477.6617219772,1009735382787.4464,1117455.3807434165
82,Bitcoin,20043489404100.766,1069092.7445713216,2022-05-07,1071685.8507869437,1036414.7414605301,723037839191.866,1053058.9638254044
83,Bitcoin,17223684488824.816,887725.7808331477,2022-05-17,908213.1538472887,874497.264104496,865105322298.7393,901432.89785944
84,Bitcoin,16209582366102.56,845486.084732055,2022-05-28,854099.0485863696,837057.1146621241,564368304929.9307,850803.2354294241
85,Bitcoin,17472545990484.791,923022.5085257274,2022-06-07,929276.3605981251,865653.1569618405,1199567675282.6362,917070.8310769831
86,Bitcoin,10777738437454.043,608398.5333863843,2022-06-18,616202.5641866602,526238.3165551391,1248373427482.3335,565137.769042966
87,Bitcoin,11462595598692.121,614130.5174414712,2022-06-28,627895.5730697933,601042.4751757889,633385194686.3014,602714.1266960538
88,Bitcoin,12268074699259.914,646368.8276039062,2022-07-09,651140.2362017301,638306.7184098877,882223709003.2712,642659.6254932584
89,Bitcoin,13344083272378.713,671186.5570242704,2022-07-19,707128.5983050057,648624.0830484515,1456772604447.2524,697620.2409090557
90,Bitcoin,13607145843555.586,713365.2721382901,2022-07-29,727536.5584883211,705339.21935598,1073620871132.2242,714424.6050264899
91,Bitcoin,13292141122774.498,714725.5370070556,2022-08-09,716994.3090092906,689827.7557842225,707048515184.7263,695719.4428318597
92,Bitcoin,11970494534325.523,695888.7043566613,2022-08-19,695888.7043566613,628475.7750382939,1214397096367.6494,628737.9682179933
93,Bitcoin,11510658184940.113,616734.7810117383,2022-08-30,625763.3130778169,597091.0340117629,1047711418290.8923,602838.6217492159
94,Bitcoin,12638575434282.91,596731.1937403413,2022-09-09,661725.2246333533,596278.1091157,1496433671882.372,659929.2828784573
95,Bitcoin,11336937269786.855,612328.1925945529,2022-09-20,614370.39810112,590469.6922469343,1152606661680.2375,592277.2244108923
96,Bitcoin,11784506363938.09,619371.9163245007,2022-09-30,639048.8319998293,613389.8115788025,1391530850719.4727,618272.9038960799
97,Bitcoin,11614952183404.271,608469.0171438713,2022-10-11,612173.3439184537,603698.3732967887,912799954148.9907,606574.2959982805
98,Bitcoin,11805632992943.64,611503.0251474954,2022-10-21,617414.2530992092,602234.6637423328,1041764614405.3137,615254.1234167299
99,Bitcoin,12634282529282.023,662641.8435262602,2022-10-31,671233.4579738224,654418.6134641418,1466622215298.2747,661249.0358116677
